index,event,disaster,class_label,clean_text,has_crisis_term
73,other_disaster,True,requests_or_needs,good morning in croixdesbouquets at dagou block near the market people are very hungry they dont receive anything please pass this message for us its idomi,False
74,other_disaster,True,requests_or_needs,good evening the organizations that are helping haiti it is not only the capital that needs help. in the south there a many people who left portauprince with nothing they are hungry please help,True
75,other_disaster,True,requests_or_needs,my goodness everybody getting food. carrefour is not getting anything. please send us something.,False
76,train_crash,True,affected_individual,killed and injured in train derailment accident in new york via,True
77,cyclone,True,donation_and_volunteering,port vila. power is out. water runs in some places.p... cyclonepam portvila vanuatuislands tc pam via,False
78,earthquake,True,donation_and_volunteering,jud faisalabad drives massive donation collection compaign for earthquake victims of awaran judreleif.,True
79,other_disaster,True,requests_or_needs,hello we are a family of ten is it possible for us to get a tent please,False
80,flood,True,donation_and_volunteering,three chinese naval ships arrive in sri lanka to assist in flood relief,True
81,other_disaster,True,requests_or_needs,i would like to know when we will can to give me a good hope,False
82,cyclone,True,injured_or_dead_people,abcnews aid agency predicts death toll to rise from tropical cyclone pam auspol climatechange is a killer.,False
83,flood,True,infrastructure_and_utilities_damage,. the calgary dropin centre reopened and affected clients were brought back this afternoon yycflood,True
84,train_crash,True,affected_individual,blast hits quebec town as train carrying oil derails. dozens of buildings destroyed many residents missing.,True
85,wildfire,True,donation_and_volunteering,fire in california continues to blaze but firefighters gain ground,False
86,flood,True,donation_and_volunteering,exclusive message by appealing nation to come forward and contribute for flood stricken people of pakistan,True
87,other_disaster,True,requests_or_needs,there are people in delmas 32 who form an association who is taking food on the name of the people in that neighborhood. they are just keeping it. it is not being distributed.,False
88,flood,True,infrastructure_and_utilities_damage,heres what parts of calgary look like right now. we are all crushed with the images but we are strong abflood,True
89,earthquake,True,infrastructure_and_utilities_damage,the flag on top of the collapsed building 2da mexicoearthquake,True
90,flood,True,infrastructure_and_utilities_damage,saveuerm flood is about to reach the 3rd floor where the nursery is pls rescueph,True
91,earthquake,True,infrastructure_and_utilities_damage,magnitude7.9 quake strikes kathmandu toppling homes famed ancient temples the japan times,False
92,other_disaster,True,infrastructure_and_utilities_damage,powerful waves also damaged 3 km of sea dike many embankments over 100 houses two schools and 30 salt stocks.,True
93,typhoon,True,donation_and_volunteering,pacquiao fight wont affect typhoon search rescue missions pabloph,True
94,earthquake,True,infrastructure_and_utilities_damage,pray for chile tonight there was an 8.2 earthquake off the coast earlier and from what ive seenread there is a lot of damage. please pray.,True
95,other_disaster,True,requests_or_needs,he advised the community radio broadcasters to intensify ebola sensitization using accurate information.,False
96,earthquake,True,donation_and_volunteering,women victims of earthquake are more needy. female volunteers needed in awaran,True
97,flood,True,affected_individual,heart wrenching reports 11700 evacuated. 17494 housing structures damaged 1502 homes destroyed. coflood,True
98,flood,True,donation_and_volunteering,if you volunteer take mask headlamp rubber glovesboots bug spray sunscreen. also buckets. yychelps yycflood,True
99,hurricane,True,donation_and_volunteering,300 harvey evacuees relocated to temporary housing from george r. brown,False
100,other_disaster,True,requests_or_needs,we will not survive in this chilling winter and hopefully we will be dead. i have children my aged mother and my cattles. please help.district rajanpur,True
101,other_disaster,True,requests_or_needs,why you dont want to help me i know if you want you can help me like orgpam please look what you can do for helping me. its still ulysse carlo.i think you are going to find this message monday.,True
102,hurricane,True,infrastructure_and_utilities_damage,island of barbuda literally under water after hurricane irma,True
103,hurricane,True,donation_and_volunteering,food trucks in columbus raise money for harvey flooding victims in texas more details gtgtgt,True
104,other_disaster,True,requests_or_needs,hi we are in menos road in fontamara 43 in mikis yard we cant handle it anymore please help us,True
105,hurricane,True,infrastructure_and_utilities_damage,90100 of barbudas structures and infrastructure are destroyed irma 2,True
106,other_disaster,True,requests_or_needs,ocha is prepared to serve as a channel for unearmarked cash contributions to be used for immediate relief assistance in coordination with relevant organizations in the united nations system.,False
107,hurricane,True,donation_and_volunteering,btw puerto rico and usvi still need help but seeing as theyre brown and all...,True
108,typhoon,True,donation_and_volunteering,video from masbate. wind and rain picking up due to hagupitph please volunteer and help us monitor the effects...,True
109,other_disaster,True,requests_or_needs,hi since two weeks kmep dont give them any water at bas peu de chose. please send one 1 sos for us. tanks before,False
110,other_disaster,True,requests_or_needs,there has however been an increase in reported cases of diarrhoea unexplained fevers and respiratory infections.,False
111,earthquake,True,donation_and_volunteering,becareful while donating to any ngo or foundation linked to news traders or paid media,False
112,other_disaster,True,requests_or_needs,addis ababa 11 june irin women and children have been forced to eat grass to survive in a remote floodhit area of southern ethiopia the international committee of the red cross icrc said on monday.,True
113,other_disaster,True,infrastructure_and_utilities_damage,for example the countrys centuryold water management system will continue to be overwhelmed during heavy rains until the government invests in an overhaul he said.,False
114,typhoon,True,affected_individual,seven days of tragedy s deeply moving photos from typhoon haiyan,False
115,flood,True,injured_or_dead_people,teamsolamente scores killed in flooding in nepal and india more than 11000 homes have be... teamsolamente,True
116,hurricane,True,infrastructure_and_utilities_damage,exclusive epa opens inquiry into arkema chemical plant explosion after harvey flooding,True
117,earthquake,True,donation_and_volunteering,your response to our appeal has been incredible watch the latest on nepalquake appeal from,False
118,earthquake,True,infrastructure_and_utilities_damage,israeli paramedics in nepal houses just vanished via,False
119,earthquake,True,donation_and_volunteering,crews race to rescue little girl from quake rubble. breaking earthquake mexico,True
120,shooting,True,affected_individual,lax suspect remains heavily sedate under guard usa today u.s. news and world reportlax suspect remains heavi...,False
121,other_disaster,True,requests_or_needs,following cyclone mala and other emergencies in 2006 unicef was able to quickly mobilise and deliver emergency relief goods including family kits insecticide treated bednets and essential drugs for local health centres in the affected areas.,True
122,wildfire,True,infrastructure_and_utilities_damage,luther burbank center heavily damaged by california wildfire by sopan deb via nyt,True
123,earthquake,True,donation_and_volunteering,india send its national disaster rescue force to nepal earthquake indianavengers,True
124,cyclone,True,donation_and_volunteering,nearly 60000 children in need of immediate assistance after cyclone pam in vanuatu,False
125,earthquake,True,injured_or_dead_people,180 bodies retrieved from debris of nepals historic tower outlook wires,False
126,earthquake,True,injured_or_dead_people,bruce jenner still front page of yahoo when 1500 people died in an earthquake in nepal this morning,True
127,other_disaster,True,requests_or_needs,is an effective vaccine already available against the recently identified influenza ah1n1 virus,False
128,cyclone,True,donation_and_volunteering,its been a busy couple of days for adra vanuatu weve also distributed water filtration kits to four...,False
129,earthquake,True,infrastructure_and_utilities_damage,only in california does earthquake damage skatepark. photo by jeremy carroll,True
130,meteor,True,affected_individual,whats new russia cleans up after meteor blast injures more than 1000,False
131,other_disaster,True,requests_or_needs,on friday singapore sent a 42member team from the civil defence force to padang to help with the rescue operations and also transported 50000 us dollars worth of tents blankets and medical supplies.,True
132,shooting,True,affected_individual,lax update lapd confirmed they shot the suspect,False
133,hurricane,True,donation_and_volunteering,rescue workers help people after the area was hit by hurricane maria in guayama puerto rico.,True
134,earthquake,True,donation_and_volunteering,people of nepal urgently need clean water shelter and medical assistance. donate nepalquake,True
135,other_disaster,True,requests_or_needs,i can donate clothing hot meals nonperishable foods and hygiene products .,False
136,other_disaster,True,infrastructure_and_utilities_damage,however the road remains closed due to the fluid security situation.,False
137,flood,True,injured_or_dead_people,india today honour killing girl allegedly shot dead by father in up,True
138,explosion,True,affected_individual,topstories breaking news explosion injuries reported at fertilizer plant near waco in to ...,False
139,explosion,True,affected_individual,multiple injuries reported at texas fertilizer plant explosion,False
140,wildfire,True,infrastructure_and_utilities_damage,california wildfires have been devastatingly arbitrary. some houses stand amid a sea of ash.,True
141,hurricane,True,infrastructure_and_utilities_damage,major hurricane odile struck baja late sunday. photos of damage and firsthand reports here.,True
142,flood,True,donation_and_volunteering,help maringph victims by donating binalot meals via reliefph,True
143,other_disaster,True,requests_or_needs,earlier this week government advisers and the agriculture ministers of two previous governments agreed at a round table that the country would never be able to get rid of the food crisis if it continued to neglect the agriculture sector in the name of industrialisation.,False
144,hurricane,True,donation_and_volunteering,help puerto rico get this supplies if you are truly concerned about puerto rico.,True
145,hurricane,True,donation_and_volunteering,mexico takes back offer to provide hurricane harvey aid to texas to focus on countrys,True
146,flood,True,infrastructure_and_utilities_damage,all brisbane catholic schools open today except for st josephs school gayndah st marys school laidley bigwet qldfloods,True
147,tornado,True,donation_and_volunteering,donations for tornado victims can be dropped off bottled water diapers nonperishable baby formula,True
148,typhoon,True,donation_and_volunteering,. cebu city govt sennds another batch of relief goods to brgys quiot and sudlon i evac centers. rubyph,False
149,other_disaster,True,requests_or_needs,i would like info. on earthquake,True
150,earthquake,True,affected_individual,52 dead in guatemala many more missing due to the earthquake yesterday via,True
151,other_disaster,True,infrastructure_and_utilities_damage,the existing sealevel gauge and seismic network will be upgraded and expanded to ensure accurate and timely tsunami warnings.,False
152,other_disaster,True,injured_or_dead_people,breaking news 2 dead 20 hospitalised over high salt consumption for ebola prevention via,True
153,earthquake,True,donation_and_volunteering,1.4m people need food aid out of 8m affected by nepalearthquake un says,True
154,other_disaster,True,requests_or_needs,as part of merlins nutrition activities an additional 55 metric tonnes of fortified blended foods such as unimix and plumpy nut a high protein and high energy peanutbased therapeutic food product often used to treat severe malnutrition has been distributed in seven union councils of upper swat to communities most vulnerable over winter.,False
155,typhoon,True,affected_individual,death toll from typhoon bopha in philippines climbs to more than 320.,False
156,earthquake,True,donation_and_volunteering,volunteers needed meeting at yellow house sanepa at 5pm to coordinate the relief operations outside ktm nepalquakerelief,True
157,earthquake,True,injured_or_dead_people,danfredinburg dan fredinburg google exec avid climber dan fredinburg killed in massive nepal quak,False
158,shooting,True,affected_individual,breaking. source tells tsa agent who was shot at lax has now died the suspect is an offduty tsa agent.,False
159,earthquake,True,infrastructure_and_utilities_damage,latest pics by earthquake aftermath in kathmandu. nepalearthquake indiawithnepal,True
160,other_disaster,True,requests_or_needs,coats scarves beanies gloves candles some cleaning supplies blanket rice canned soups,False
161,other_disaster,True,requests_or_needs,trendsinindia reliance jio 7th place in india. visit to see all images,False
162,other_disaster,True,requests_or_needs,on board were teams from surfaid and pmi indonesian red cross who reported difficult access to villages due to strong southerly winds buffeting the coast.,False
163,other_disaster,True,requests_or_needs,we are about 100 people in the parking lot of kapitol behind promobank we need help we called no response,True
164,hurricane,True,donation_and_volunteering,tesla just brought solar to a hospital in puerto rico. the rest of the island wont be as easy.,False
165,earthquake,True,donation_and_volunteering,if you would like to make a donation toward disaster relief in nepal you can do so through fellowship.,True
166,earthquake,True,infrastructure_and_utilities_damage,basantapur devastation south side looking north ish. nepalearthquake,True
167,hurricane,True,donation_and_volunteering,i survive hurricanemaria no power no water no batteries no gas no help its not true the help my son rescue me,True
168,hurricane,True,donation_and_volunteering,swling post news nab delivers radios to hurricaneravished puerto rico hamradio hamr,True
169,typhoon,True,donation_and_volunteering,. staff have been deployed to areas projected to be affected by typhoon hagupit rubyph,False
170,flood,True,injured_or_dead_people,india uttar pradesh floods claim 41 lives over 1000 villages hit,True
171,cyclone,True,injured_or_dead_people,devastation hits vanuatu with any casualties. exact of fatalities unknown,False
172,hurricane,True,injured_or_dead_people,collapsed crane 57th st. nyc. sandy,False
173,hurricane,True,infrastructure_and_utilities_damage,raleigh news couple fleeing florida ahead of irma accidentally drives car into hotel pool,False
174,hurricane,True,donation_and_volunteering,some of texas most selfless hurricane harvey heroes are also daca recipients,True
175,other_disaster,True,infrastructure_and_utilities_damage,breaking hurricane matthew batters georgia s.c. coastlines,True
176,other_disaster,True,infrastructure_and_utilities_damage,accident right lane blocked in maricopa on state route 347 nb at riggs rd,False
177,wildfire,True,affected_individual,media large wildfire in n. colorado prompts evacuations crews are battling a fastmoving wildf... politics news,True
178,other_disaster,True,requests_or_needs,i need help where i am now call me,True
179,flood,True,donation_and_volunteering,maldives presents disaster relief to floodhit sri lanka maldives news,True
180,other_disaster,True,requests_or_needs,we need tents food electricity. we dont have anything at all.,False
181,earthquake,True,affected_individual,news italy quake victims given shelter via,True
182,earthquake,True,donation_and_volunteering,stellar mechanism to donate to those most affected by nepal earthquake via,True
183,shooting,True,affected_individual,condition of victims at lax unknown says lapd live coverage,True
184,other_disaster,True,requests_or_needs,we are in fontamara on louis st the route 1 and 2 we have not receive anything we need water. thank you we are waiting on you,False
185,typhoon,True,donation_and_volunteering,peoplewater is donating 1 on instagram per repost to the philippines of this pic. typhoonhaiyan charity,False
186,hurricane,True,donation_and_volunteering,after 200000 initial goal j.j. watts harvey fund hits 20 million,False
187,other_disaster,True,requests_or_needs,thanks to generous donations to the wave of giving campaign for tsunami recovery lutheran world relief is providing continuous support to affected communities through its indonesian partner organizations in action by churches together act a global alliance of churches and related agencies responding to disasters worldwide.,True
188,earthquake,True,requests_or_needs,i just logged a usb qso with 9n1emergency on 20m. 73 de r2dbr nepal everest earthquake,True
189,earthquake,True,infrastructure_and_utilities_damage,california quake damages historic buildings the strongest quake to hit the bay area in ...,True
190,explosion,True,infrastructure_and_utilities_damage,there was a explosion in texas,False
191,earthquake,True,injured_or_dead_people,despair as death toll jumps after massive iran quake,False
192,other_disaster,True,requests_or_needs,i can bring clothing food money if it s helpful .,True
193,hurricane,True,infrastructure_and_utilities_damage,photos show destruction damage from hurricane maria,True
194,other_disaster,True,requests_or_needs,mcivor noted that depending on rainfed agriculture would not be feasible particularly in the south and interventions would have to include irrigation and water management schemes droughtresistant crop varieties and diversifying into alternative livelihoods like fishing.,False
195,other_disaster,True,requests_or_needs,bonjour. .. i need to go to canada i only have my passport. how can you help me please. thank you,True
196,wildfire,True,donation_and_volunteering,amazing generosity from giving 10000 to joe and his family after they lost everything in the nswfires. su,False
197,other_disaster,True,requests_or_needs,bangkok 27 october 2011 unicef is providing 20000 insecticidetreated mosquito nets to help protect families evacuated to temporary shelters and living in other floodravaged areas in thailand from dengue fever and other mosquitoborne diseases.,True
198,wildfire,True,infrastructure_and_utilities_damage,224000 acres burnt in australia in the latest bush fire incident. heavy damage to prope... australia via,True
199,earthquake,True,donation_and_volunteering,someone asked how they could help the pakistan earthquake survivors. this is a good charity organization that i...,True
200,typhoon,True,affected_individual,475 dead 200000 homeless as a result of super typhoon bopha in the philippines. how long will we bear the brunt of climate ...,True
201,other_disaster,True,infrastructure_and_utilities_damage,very spooky to drive into work and see main street completely dark still no power . ridgefield ctsandy http t.coughdclnj,False
202,earthquake,True,donation_and_volunteering,president obama calls nepals prime minister offers help with earthquake recovery,True
203,hurricane,True,donation_and_volunteering,from rescues to relief principals response to harvey aided by ed tech via,True
204,other_disaster,True,requests_or_needs,emergency relief services began shipping supplies to flood ravaged villages on friday and hoped to have a full assessment of the damage early next week a red cross programme coordinator in papua new guinea harm westdrop said.,True
205,train_crash,True,affected_individual,scores reported dead as train derails in spain,True
206,other_disaster,True,requests_or_needs,please help those of us who left pap for the countryside,True
207,hurricane,True,donation_and_volunteering,we want to make floridians aware of an important issue called assignment of benefits. heretohelp irma,True
208,flood,True,affected_individual,breaking bigwet catastrophe zone declared jan29 230pm tweed and northernrivers new south wales 41000 ppl current ...,False
209,other_disaster,True,infrastructure_and_utilities_damage,here in northern jersey half hour west of nyc atandt cell service has been nonexistent to spotty verizon close to normal hurricanesandysandy traffic..2 hours from astoria to manhattan. walking is faster. sandy koch queensboro bridge they should give all the kids the week off and dont even make up the days they are learning more about life from the storm,True
210,hurricane,True,donation_and_volunteering,hurricaneharvey tourism recovery fund unites travel industry.,True
211,earthquake,True,donation_and_volunteering,at 11 cumbria charity backs barnardos to better protect kids and worries about tsunami caused by quake near chile,False
212,other_disaster,True,infrastructure_and_utilities_damage,srilankan government reconstruct the houses destroyed and damaged by the devastating floods and landslides in the,True
213,other_disaster,True,requests_or_needs,this family need water and food the child is hungry. please help,True
214,other_disaster,True,requests_or_needs,savoury foods a pakistani company supplying bulk foods to hotel chains has donated most of the daily supplies.,False
215,earthquake,True,donation_and_volunteering,nepalearthquake emergency why digital humanitarian response matters and how you can help. feat.,True
216,crash,True,affected_individual,bbc news glasgow helicopter crash response courage praised,False
217,other_disaster,True,requests_or_needs,a large number of ethnic pashtun families from the north of the country who say they fled ethnic tension are also present at the windswept frontier site.,False
218,earthquake,True,injured_or_dead_people,5 deaths reported in 8.2magnitude earthquake that h... pacific chile hawaii southamerica tsunami via,True
219,other_disaster,True,requests_or_needs,the government has assessed that at this stage financial contributions are the best and most efficient way australia can make a rapid contribution to the global response and support front line health services in the affected countries.,False
220,wildfire,True,affected_individual,tens of thousands flee homes as colorado wildfire doubles in size overnight fox news bbc newstens of thousand...,True
221,typhoon,True,donation_and_volunteering,thousands of animals in need after philippines typhoon haiyan yolandaph disasteranimals hmrd cb,False
222,earthquake,True,injured_or_dead_people,34 people killed in india after nepal earthquake union home secretary,True
223,earthquake,True,injured_or_dead_people,usa news hot news 791 earthquake three critically injured almost 90 treated at napa hospital following 6.0 ...,True
224,other_disaster,True,requests_or_needs,i dont have a tentthere are so much moutisquo.i am contaminate by the moustiquo.if i dont find a solution i go to have malaria.please help me and i congratulate you.,True
225,earthquake,True,donation_and_volunteering,msf sending 8 teams to assist victims of the nepal earthquake including highly skilled emergency surgical teams,True
226,earthquake,True,injured_or_dead_people,pakistan church bomb christians mourn 85 killed in peshawar suicide attack the guardian iic,False
227,other_disaster,True,injured_or_dead_people,isis targets syrian democratic forces with chemical weapons aranews,False
228,hurricane,True,infrastructure_and_utilities_damage,destruction. hurricaneodile cabo loscabos cabosanlucas odile odileaftermath mexico hurricane prayforcabo...,True
229,earthquake,True,donation_and_volunteering,rescue and relief efforts by pakistan army continue in earthquake affected areas of balochistan,True
230,other_disaster,True,requests_or_needs,thousands have been evacuated with 1300 now in 43 temporary shelters across the island.,True
231,other_disaster,True,requests_or_needs,we are responsible of the survivors in sion grand ravine we cant find food and water,True
232,typhoon,True,donation_and_volunteering,in other news lets all say yes to helping the victims of pabloph. they still need help. cant stress that enough.,True
233,typhoon,True,donation_and_volunteering,last week we donated 10k to for the philippines haiyan relief through you can still dona,False
234,other_disaster,True,affected_individual,statement of observer in dhaka missing people transporting of bodies and bloodied people. bangladesh...,False
235,wildfire,True,infrastructure_and_utilities_damage,woman at las vegas shooting loses california home to wildfires,True
236,other_disaster,True,requests_or_needs,nepal government finally decides to help 50000 to the flood affected community of sri lanka . though late a good initiative . a,True
237,hurricane,True,donation_and_volunteering,need a job fema needs texans to help with harvey recovery,True
238,other_disaster,True,requests_or_needs,the supplies reached beneficiaries in lower jubbha middle jubba gedo hiran bay and lower shabelle and included maize wheat grain corn meal lentils and vegetable oil .,False
239,hurricane,True,infrastructure_and_utilities_damage,tropical storm harvey texas chemical plant poised to explode as it happened the vi,False
240,flood,True,injured_or_dead_people,jammu and kashmir floods death toll mounts to 107 daily news and analysis,True
241,earthquake,True,donation_and_volunteering,the trust has set up an emergency appeal fund htukearthquakeappeal please donate to help nepal,True
242,other_disaster,True,requests_or_needs,we need tent for homeless. the worst thing is the people who came from portauprince. they do not have anything. we would like some emergency help.,True
243,flood,True,injured_or_dead_people,suryaray indian nepal floods death toll passes 100 voice of america india,True
244,flood,True,affected_individual,rescueph rescue needed gigi asuncion and family incl.1 yr old baby and 70 yo dad. 507 kamagong st st josep ...,True
245,flood,True,donation_and_volunteering,teamvice at marikina giving snacks to the victims of typhoon maring.. poohtik,True
246,other_disaster,True,affected_individual,500 feared dead in bangladesh collapse bangladesh rescuers say that more than 500 peopl...,True
247,flood,True,affected_individual,soldiers have rescued more than 2100 people and hundreds of pets displaced by colorado floods,True
248,crash,True,infrastructure_and_utilities_damage,photo shows helicopter crash at clutha pub in glasgow and,False
249,other_disaster,True,requests_or_needs,what are you doing for people who are dying of hunger in mawotye. they gave only a little water. without god they would be dead already.,True
250,earthquake,True,infrastructure_and_utilities_damage,another strong jolt of earthquake hit the baluchistan province of pakistanmany houses wr destroyedmany civil remained under collapsed,True
251,hurricane,True,infrastructure_and_utilities_damage,hurricane maria has already left 90 percent of puerto rico without power,True
252,meteor,True,affected_individual,hundreds injured by meteor explosion in russia,True
253,flood,True,donation_and_volunteering,pls . super urgent. the ateneo hs reliefph kitchen badly needs food containers paper kung pwede. ok na styro or microwave plastic.,False
254,other_disaster,True,affected_individual,bangladesh dhaka building collapse leaves 80 dead bbc news,True
255,other_disaster,True,infrastructure_and_utilities_damage,crops suffer pasture for livestock becomes more scarce and boreholes dry up meaning farmers have to travel greater distances to find grazing land for their animals.,False
